name, x_position, z_position, rotation_angle, robot_height
img_2_x5.00_z25.00_angle0.00_robot_height350.00.png,5,25,0,350
img_3_x10.00_z25.00_angle0.00_robot_height350.00.png,10,25,0,350
img_4_x15.00_z25.00_angle0.00_robot_height350.00.png,15,25,0,350
img_5_x20.00_z25.00_angle0.00_robot_height350.00.png,20,25,0,350
img_6_x25.00_z25.00_angle0.00_robot_height350.00.png,25,25,0,350
img_7_x30.00_z25.00_angle0.00_robot_height350.00.png,30,25,0,350
img_8_x35.00_z25.00_angle0.00_robot_height350.00.png,35,25,0,350
img_9_x40.00_z25.00_angle0.00_robot_height350.00.png,40,25,0,350
img_10_x45.00_z25.00_angle0.00_robot_height350.00.png,45,25,0,350
img_11_x1.00_z25.00_angle45.00_robot_height350.00.png,1,25,45,350
img_12_x5.00_z25.00_angle45.00_robot_height350.00.png,5,25,45,350
img_13_x10.00_z25.00_angle45.00_robot_height350.00.png,10,25,45,350
img_14_x15.00_z25.00_angle45.00_robot_height350.00.png,15,25,45,350
img_15_x20.00_z25.00_angle45.00_robot_height350.00.png,20,25,45,350
img_16_x25.00_z25.00_angle45.00_robot_height350.00.png,25,25,45,350
img_17_x30.00_z25.00_angle45.00_robot_height350.00.png,30,25,45,350
img_18_x35.00_z25.00_angle45.00_robot_height350.00.png,35,25,45,350
img_19_x40.00_z25.00_angle45.00_robot_height350.00.png,40,25,45,350
img_20_x45.00_z25.00_angle45.00_robot_height350.00.png,45,25,45,350
img_21_x1.00_z25.00_angle90.00_robot_height350.00.png,1,25,90,350
img_22_x5.00_z25.00_angle90.00_robot_height350.00.png,5,25,90,350
img_23_x10.00_z25.00_angle90.00_robot_height350.00.png,10,25,90,350
img_24_x15.00_z25.00_angle90.00_robot_height350.00.png,15,25,90,350
img_25_x20.00_z25.00_angle90.00_robot_height350.00.png,20,25,90,350
img_26_x25.00_z25.00_angle90.00_robot_height350.00.png,25,25,90,350
img_27_x30.00_z25.00_angle90.00_robot_height350.00.png,30,25,90,350
img_28_x35.00_z25.00_angle90.00_robot_height350.00.png,35,25,90,350
img_29_x40.00_z25.00_angle90.00_robot_height350.00.png,40,25,90,350
img_30_x45.00_z25.00_angle90.00_robot_height350.00.png,45,25,90,350
img_31_x1.00_z25.00_angle135.00_robot_height350.00.png,1,25,135,350
img_32_x5.00_z25.00_angle135.00_robot_height350.00.png,5,25,135,350
img_33_x10.00_z25.00_angle135.00_robot_height350.00.png,10,25,135,350
img_34_x15.00_z25.00_angle135.00_robot_height350.00.png,15,25,135,350
img_35_x20.00_z25.00_angle135.00_robot_height350.00.png,20,25,135,350
img_36_x25.00_z25.00_angle135.00_robot_height350.00.png,25,25,135,350
img_37_x30.00_z25.00_angle135.00_robot_height350.00.png,30,25,135,350
img_38_x35.00_z25.00_angle135.00_robot_height350.00.png,35,25,135,350
img_39_x40.00_z25.00_angle135.00_robot_height350.00.png,40,25,135,350
img_40_x45.00_z25.00_angle135.00_robot_height350.00.png,45,25,135,350
img_41_x1.00_z25.00_angle180.00_robot_height350.00.png,1,25,180,350
img_42_x5.00_z25.00_angle180.00_robot_height350.00.png,5,25,180,350
img_43_x10.00_z25.00_angle180.00_robot_height350.00.png,10,25,180,350
img_44_x15.00_z25.00_angle180.00_robot_height350.00.png,15,25,180,350
img_45_x20.00_z25.00_angle180.00_robot_height350.00.png,20,25,180,350
img_46_x25.00_z25.00_angle180.00_robot_height350.00.png,25,25,180,350
img_47_x30.00_z25.00_angle180.00_robot_height350.00.png,30,25,180,350
img_48_x35.00_z25.00_angle180.00_robot_height350.00.png,35,25,180,350
img_49_x40.00_z25.00_angle180.00_robot_height350.00.png,40,25,180,350
img_50_x45.00_z25.00_angle180.00_robot_height350.00.png,45,25,180,350
img_51_x1.00_z25.00_angle225.00_robot_height350.00.png,1,25,225,350
img_52_x5.00_z25.00_angle225.00_robot_height350.00.png,5,25,225,350
img_53_x10.00_z25.00_angle225.00_robot_height350.00.png,10,25,225,350
img_54_x15.00_z25.00_angle225.00_robot_height350.00.png,15,25,225,350
img_55_x20.00_z25.00_angle225.00_robot_height350.00.png,20,25,225,350
img_56_x25.00_z25.00_angle225.00_robot_height350.00.png,25,25,225,350
