name, x_position, z_position, rotation_angle, robot_height
img_2369_x40.00_z125.00_angle0.00_robot_height325.00.png,40,125,0,325
img_25_x20.00_z25.00_angle90.00_robot_height350.00.png,20,25,90,350
img_162_x5.00_z95.00_angle0.00_robot_height350.00.png,5,95,0,350
img_1756_x45.00_z65.00_angle45.00_robot_height275.00.png,45,65,45,275
img_340_x45.00_z150.00_angle45.00_robot_height350.00.png,45,150,45,350
img_2092_x5.00_z15.00_angle225.00_robot_height325.00.png,5,15,225,325
img_2485_x40.00_z148.00_angle180.00_robot_height325.00.png,40,148,180,325
img_2236_x25.00_z70.00_angle135.00_robot_height325.00.png,25,70,135,325
img_457_x1.00_z200.00_angle0.00_robot_height350.00.png,1,200,0,350
img_2549_x5.00_z170.00_angle225.00_robot_height325.00.png,5,170,225,325
img_1585_x40.00_z10.00_angle0.00_robot_height275.00.png,40,10,0,275
img_2275_x20.00_z70.00_angle315.00_robot_height325.00.png,20,70,315,325
img_658_x45.00_z25.00_angle180.00_robot_height300.00.png,45,25,180,300
img_1373_x40.00_z60.00_angle270.00_robot_height250.00.png,40,60,270,250
img_320_x45.00_z125.00_angle315.00_robot_height350.00.png,45,125,315,350
img_361_x1.00_z150.00_angle180.00_robot_height350.00.png,1,150,180,350
img_562_x15.00_z15.00_angle135.00_robot_height300.00.png,15,15,135,300
img_1492_x15.00_z95.00_angle135.00_robot_height250.00.png,15,95,135,250
img_1470_x25.00_z95.00_angle0.00_robot_height250.00.png,25,95,0,250
img_1242_x35.00_z30.00_angle45.00_robot_height250.00.png,35,30,45,250
img_315_x20.00_z125.00_angle315.00_robot_height350.00.png,20,125,315,350
img_296_x25.00_z125.00_angle225.00_robot_height350.00.png,25,125,225,350
img_711_x10.00_z50.00_angle90.00_robot_height300.00.png,10,50,90,300
img_961_x1.00_z120.00_angle180.00_robot_height300.00.png,1,120,180,300
img_646_x35.00_z25.00_angle135.00_robot_height300.00.png,35,25,135,300
img_2126_x25.00_z45.00_angle0.00_robot_height325.00.png,25,45,0,325
img_1991_x30.00_z125.00_angle45.00_robot_height275.00.png,30,125,45,275
img_2312_x5.00_z100.00_angle135.00_robot_height325.00.png,5,100,135,325
img_1820_x15.00_z85.00_angle0.00_robot_height275.00.png,15,85,0,275
img_2287_x30.00_z100.00_angle0.00_robot_height325.00.png,30,100,0,325
img_1436_x5.00_z78.00_angle225.00_robot_height250.00.png,5,78,225,250
img_1379_x20.00_z60.00_angle315.00_robot_height250.00.png,20,60,315,250
img_1750_x15.00_z65.00_angle45.00_robot_height275.00.png,15,65,45,275
img_911_x10.00_z95.00_angle270.00_robot_height300.00.png,10,95,270,300
img_1544_x15.00_z115.00_angle90.00_robot_height250.00.png,15,115,90,250
