name, x_position, z_position, rotation_angle, robot_height
img_637_x40.00_z25.00_angle90.00_robot_height300.00.png,40,25,90,300
img_2284_x15.00_z100.00_angle0.00_robot_height325.00.png,15,100,0,325
img_186_x25.00_z95.00_angle90.00_robot_height350.00.png,25,95,90,350
img_1540_x25.00_z115.00_angle45.00_robot_height250.00.png,25,115,45,250
img_977_x1.00_z120.00_angle270.00_robot_height300.00.png,1,120,270,300
img_1895_x40.00_z85.00_angle315.00_robot_height275.00.png,40,85,315,275
img_966_x25.00_z120.00_angle180.00_robot_height300.00.png,25,120,180,300
img_2436_x25.00_z125.00_angle315.00_robot_height325.00.png,25,125,315,325
img_2339_x40.00_z100.00_angle225.00_robot_height325.00.png,40,100,225,325
img_1971_x20.00_z105.00_angle315.00_robot_height275.00.png,20,105,315,275
img_963_x10.00_z120.00_angle180.00_robot_height300.00.png,10,120,180,300
img_512_x5.00_z215.00_angle90.00_robot_height350.00.png,5,215,90,350
img_1623_x30.00_z10.00_angle180.00_robot_height275.00.png,30,10,180,275
img_2516_x15.00_z170.00_angle0.00_robot_height325.00.png,15,170,0,325
img_1615_x40.00_z10.00_angle135.00_robot_height275.00.png,40,10,135,275
img_2386_x25.00_z125.00_angle90.00_robot_height325.00.png,25,125,90,325
img_608_x45.00_z15.00_angle315.00_robot_height300.00.png,45,15,315,300
img_1564_x25.00_z115.00_angle225.00_robot_height250.00.png,25,115,225,250
img_2158_x35.00_z45.00_angle135.00_robot_height325.00.png,35,45,135,325
img_152_x5.00_z60.00_angle315.00_robot_height350.00.png,5,60,315,350
img_1966_x45.00_z105.00_angle270.00_robot_height275.00.png,45,105,270,275
img_382_x5.00_z150.00_angle270.00_robot_height350.00.png,5,150,270,350
img_1229_x20.00_z30.00_angle0.00_robot_height250.00.png,20,30,0,250
img_732_x15.00_z50.00_angle180.00_robot_height300.00.png,15,50,180,300
img_2330_x45.00_z100.00_angle180.00_robot_height325.00.png,45,100,180,325
img_1235_x1.00_z30.00_angle45.00_robot_height250.00.png,1,30,45,250
img_2367_x30.00_z125.00_angle0.00_robot_height325.00.png,30,125,0,325
img_24_x15.00_z25.00_angle90.00_robot_height350.00.png,15,25,90,350
img_159_x40.00_z60.00_angle315.00_robot_height350.00.png,40,60,315,350
img_1672_x25.00_z40.00_angle45.00_robot_height275.00.png,25,40,45,275
img_1383_x40.00_z60.00_angle315.00_robot_height250.00.png,40,60,315,250
img_332_x5.00_z150.00_angle45.00_robot_height350.00.png,5,150,45,350
img_1260_x25.00_z30.00_angle135.00_robot_height250.00.png,25,30,135,250
img_2484_x35.00_z148.00_angle180.00_robot_height325.00.png,35,148,180,325
img_1903_x30.00_z105.00_angle0.00_robot_height275.00.png,30,105,0,275
img_445_x10.00_z175.00_angle270.00_robot_height350.00.png,10,175,270,350
img_2548_x1.00_z170.00_angle225.00_robot_height325.00.png,1,170,225,325
img_1594_x35.00_z10.00_angle45.00_robot_height275.00.png,35,10,45,275
img_913_x20.00_z95.00_angle270.00_robot_height300.00.png,20,95,270,300
